ID,FIELD+CHIP,RA,DEC,Filter
1,f1c1,23.4309671,30.8088685,r-SLOAN
3,f1c1,23.4202183,30.902205,r-SLOAN
4,f1c1,23.540215,30.9057319,r-SLOAN
5,f1c1,23.4023405,30.8378733,r-SLOAN
6,f1c1,23.4801626,30.8763826,r-SLOAN
7,f1c1,23.4309658,30.8088747,r-SLOAN
8,f1c1,23.5112792,30.8102175,r-SLOAN
9,f1c1,23.4144004,30.7612433,r-SLOAN
10,f1c1,23.5343333,30.7384722,r-SLOAN
11,f1c2,23.6868454,30.7789795,r-SLOAN
12,f1c2,23.6951975,30.7188035,r-SLOAN
13,f1c2,23.5989448,30.8850638,r-SLOAN
14,f1c2,23.6711301,30.6214006,r-SLOAN
15,f1c2,23.5594109,30.8285395,r-SLOAN
16,f1c2,23.5743503,30.8320027,r-SLOAN
17,f1c2,23.6704646,30.6825742,r-SLOAN
18,f1c2,23.6581363,30.6770185,r-SLOAN
19,f1c2,23.6002984,30.9010346,r-SLOAN
20,f1c2,23.55005,30.8878618,r-SLOAN
21,f1c2,23.6735307,30.6313846,r-SLOAN
22,f1c2,23.6324174,30.9005075,r-SLOAN
23,f1c2,23.6716344,30.633706,r-SLOAN
24,f1c2,23.6212778,30.8653109,r-SLOAN
25,f1c2,23.681539,30.8821402,r-SLOAN